basename,label,ra,dec,snr,resource,dataset
spec-1961-53299-0045,A,323.64532,-1.025619,62.84069,sdss,train
spec-7612-56972-0157,A,346.01902,20.645124,25.28945,sdss,train
spec-3303-54950-0263,A,198.64435,24.686198,24.94248,sdss,train
spec-2807-54433-0386,A,126.92589,-3.998777,50.44217,sdss,train
spec-2056-53463-0375,A,120.25621,6.9704,37.33328,sdss,train
spec-0904-52381-0449,A,154.47512,54.553327,41.50992,sdss,train
spec-1728-53228-0024,A,240.94685,7.7590172,41.07899,sdss,train
spec-3253-54941-0518,A,187.34138,5.4870052,38.30802,sdss,train
spec-2319-53763-0413,A,139.55753,22.973912,13.69673,sdss,train
spec-6180-56301-0494,A,4.5814474,19.547957,14.94913,sdss,train
spec-2300-53682-0229,A,80.555498,61.676928,47.11216,sdss,train
spec-2034-53466-0256,A,166.31326,33.925985,27.815,sdss,train
spec-3301-54939-0580,A,202.86611,24.861566,18.46942,sdss,train
spec-1674-53464-0555,A,220.35869,46.978431,42.89759,sdss,train
spec-2603-54479-0211,A,196.19996,16.380137,36.5098,sdss,train
spec-3301-54939-0255,A,201.12094,23.063279,27.13219,sdss,train
spec-0612-52079-0336,A,226.70988,58.240838,36.76212,sdss,train
spec-3178-54848-0058,A,154.34413,18.021186,14.2863,sdss,train
spec-3314-54970-0265,A,223.74275,-1.2031449,10.29709,sdss,train
spec-3170-54859-0536,A,171.93251,20.837473,11.58016,sdss,train
spec-3377-54950-0631,A,201.54122,32.544511,66.01769,sdss,train
spec-1429-52990-0462,A,157.04425,44.065429,48.18177,sdss,train
spec-3459-55007-0556,A,245.0314,32.031268,30.54249,sdss,train
spec-3142-54735-0619,A,354.87621,0.61688105,38.75164,sdss,train
spec-7456-56727-0539,A,196.87266,-0.026327662,35.58839,sdss,train
spec-0334-51993-0470,A,186.97195,-2.1008782,13.51694,sdss,train
spec-7340-58289-0638,A,212.51069,53.805815,51.11308,sdss,train
spec-1962-53321-0543,A,322.64263,12.200052,19.5429,sdss,train
spec-6037-56074-0180,A,253.08679,40.925838,15.58547,sdss,train
spec-2557-54178-0068,A,159.61951,44.042235,21.85057,sdss,train
spec-8388-57488-0955,A,200.08129,42.489706,39.46243,sdss,train
spec-3232-54882-0194,A,170.92229,8.6105452,46.1245,sdss,train
spec-6442-56369-0852,A,165.34906,33.071868,23.0388,sdss,train
spec-2215-53793-0392,A,168.21403,29.503859,25.71679,sdss,train
spec-0791-52347-0093,A,221.83399,56.092264,35.72786,sdss,train
spec-2046-53327-0599,A,33.339105,22.911727,30.56338,sdss,train
spec-3121-54749-0233,A,57.962813,11.508633,40.11496,sdss,train
spec-2541-54481-0309,A,117.30281,83.193619,52.88181,sdss,train
spec-2351-53786-0404,A,155.46519,30.169985,17.27537,sdss,train
spec-3324-54943-0629,A,155.52027,53.699005,37.24726,sdss,train
spec-2861-54583-0102,A,172.59163,-7.899863,51.67414,sdss,train
spec-1842-53501-0398,A,220.0482,32.805628,22.99055,sdss,train
spec-2232-53827-0586,A,186.37963,30.66935,13.19424,sdss,train
spec-7389-56769-0706,A,159.61037,48.69002,24.77123,sdss,train
spec-2620-54397-0621,A,336.97817,39.984765,18.19778,sdss,train
spec-3258-54884-0436,A,159.95396,44.331367,18.95402,sdss,train
spec-2897-54585-0536,A,191.21547,-1.852526,44.37113,sdss,train
spec-5780-56274-0026,A,136.45675,26.628981,17.58096,sdss,train
spec-3243-54910-0114,A,167.13469,2.4633729,63.85627,sdss,train
spec-1914-53729-0075,A,25.251456,-9.744815,38.56121,sdss,train
spec-2311-54331-0001,A,357.72262,-11.082476,33.17551,sdss,train
spec-1913-53321-0488,A,6.156447,-9.369629,28.58649,sdss,train
spec-3227-54893-0056,A,118.61541,26.621847,11.98538,sdss,train
spec-0357-51813-0454,A,260.0213,56.461687,25.12548,sdss,train
spec-0481-51908-0620,A,148.72807,2.9452758,44.60964,sdss,train
spec-2215-53793-0007,A,169.95662,28.410549,48.0275,sdss,train
spec-3192-54829-0322,A,139.90427,15.792915,18.03077,sdss,train
spec-1299-52972-0276,A,133.26003,7.9789307,54.37762,sdss,train
spec-0819-52409-0231,A,253.03933,35.176949,48.03838,sdss,train
spec-3177-54833-0183,A,156.00192,55.184933,10.03841,sdss,train
spec-1962-53321-0541,A,322.72907,12.118642,12.14243,sdss,train
spec-3305-54945-0619,A,187.2259,55.208259,19.08227,sdss,train
spec-3221-54864-0001,A,175.8555,25.718094,23.32308,sdss,train
spec-1424-52912-0329,A,251.95035,24.30866,37.51062,sdss,train
spec-0523-52026-0619,A,195.12459,3.2887855,36.71965,sdss,train
spec-4454-55536-0188,A,130.04233,27.640661,29.61908,sdss,train
spec-1987-53765-0458,A,192.33683,34.899806,37.33086,sdss,train
spec-2001-53493-0076,A,185.41999,37.880679,12.26609,sdss,train
spec-0413-51929-0162,A,49.797068,-0.4108415,10.48112,sdss,train
spec-3252-54893-0606,A,185.69057,6.4357028,35.65729,sdss,train
spec-3291-54939-0539,A,254.16945,42.333737,22.84265,sdss,train
spec-6291-56209-0506,A,336.96938,23.498671,31.27704,sdss,train
spec-1602-53117-0432,A,163.26211,11.720971,42.24343,sdss,train
spec-4221-55443-0938,A,9.41268300000002,0.145092,13.35992,sdss,train
spec-1729-53858-0216,A,241.02038,6.3292911,50.62756,sdss,train
spec-2083-53359-0048,A,126.80839,19.407626,19.33825,sdss,train
spec-3122-54821-0522,A,35.594071,-7.5034256,20.35044,sdss,train
spec-0408-51821-0540,A,40.143246,0.9412224,28.25199,sdss,train
spec-2333-53682-0031,A,299.56616,18.769892,95.4069,sdss,train
spec-1904-53682-0334,A,9.751019,0.700319,26.24163,sdss,train
spec-2321-53711-0511,A,33.555562,6.838419,12.28442,sdss,train
spec-4500-55543-0263,A,129.62542,13.854891,15.6084,sdss,train
spec-2323-54380-0519,A,332.86689,6.439746,35.28105,sdss,train
spec-2612-54480-0021,A,188.83608,19.289655,15.49488,sdss,train
spec-0814-52443-0559,A,244.17827,45.059284,44.69104,sdss,train
spec-3387-54951-0016,A,224.23795,22.498832,16.99985,sdss,train
spec-2870-54534-0273,A,164.40847,28.510804,20.80176,sdss,train
spec-3317-54908-0029,A,142.84688,19.64306,43.49381,sdss,train
spec-1916-53269-0143,A,311.39866,-6.522783,39.13518,sdss,train
spec-0724-52238-0384,A,342.94941,-8.9282216,12.68244,sdss,train
spec-6788-56428-0774,A,247.96413,55.709188,29.28076,sdss,train
spec-2822-54389-0179,A,1.165777,24.524448,15.90095,sdss,train
