basename,label,dataset,snr
spec-2474-54564-0346,A0,train,11.98326
spec-1584-52943-0089,A0,train,59.69304
spec-2256-53859-0498,A0,train,11.69473
spec-2671-54141-0052,A0,train,5.708525
spec-3227-54893-0017,A0,train,13.64902
spec-2074-53437-0156,A0,train,15.51662
spec-1393-52824-0386,A0,train,7.544685
spec-1311-52765-0065,A0,train,20.91623
spec-0560-52296-0543,A0,train,22.51352
spec-0579-52338-0278,A0,train,51.36834
spec-2938-54503-0148,A0,train,70.94985
spec-2351-53786-0591,A0,train,6.129234
spec-1250-52930-0047,A0,train,23.4232
spec-3236-54892-0121,A0,train,20.7994
spec-0292-51609-0485,A0,train,12.93476
spec-2065-53678-0531,A0,train,15.32756
spec-2850-54461-0216,A0,train,25.65355
spec-3170-54907-0353,A0,train,36.34081
spec-1192-52649-0542,A0,train,19.61706
spec-2178-54629-0623,A0,train,45.64711
spec-3195-54832-0152,A0,train,62.56145
spec-2365-53739-0225,A0,train,18.71331
spec-3362-54939-0297,A0,train,12.40075
spec-3206-54852-0046,A0,train,47.96066
spec-2739-54618-0364,A0,train,15.55381
spec-3198-54865-0368,A0,train,55.81914
spec-1259-52931-0229,A0,train,53.10908
spec-2192-54232-0313,A0,train,36.82109
spec-1216-52709-0259,A0,train,33.22155
spec-1390-53142-0500,A0,train,14.64868
spec-1149-53003-0490,A0,train,29.93041
spec-1173-52790-0535,A0,train,14.53972
spec-2403-53795-0591,A0,train,23.93386
spec-3308-54919-0385,A0,train,13.74212
spec-2900-54569-0008,A0,train,28.83348
spec-3186-54833-0376,A0,train,6.317257
spec-1900-53262-0564,A0,train,25.44722
spec-2079-53379-0529,A0,train,29.00261
spec-2672-54085-0313,A0,train,72.54226
spec-0372-52173-0566,A0,train,28.56872
spec-1894-53240-0523,A0,train,43.02853
spec-2716-54628-0099,A0,train,69.21108
spec-2816-54400-0041,A0,train,31.15291
spec-2672-54085-0228,A0,train,27.90842
spec-0587-52026-0595,A0,train,25.85862
spec-3321-54924-0463,A0,train,15.51958
spec-2573-54061-0117,A0,train,36.58734
spec-0820-52438-0544,A0,train,21.5914
spec-1916-53269-0220,A0,train,35.13184
spec-2332-54149-0472,A0,train,8.507183
spec-3375-55003-0320,A0,train,17.58293
spec-1155-52581-0473,A0,train,5.582215
spec-0767-52252-0015,A0,train,22.67884
spec-2330-53738-0269,A0,train,12.72129
spec-2923-54563-0547,A0,train,11.07039
spec-0311-51665-0138,A0,train,26.26851
spec-2797-54616-0318,A0,train,33.37518
spec-2256-53859-0447,A0,train,9.809014
spec-0886-52381-0582,A0,train,7.009497
spec-2441-54065-0612,A0,train,40.65412
spec-2418-53794-0133,A0,train,18.96395
spec-2915-54497-0104,A0,train,21.27925
spec-2569-54234-0579,A0,train,19.13909
spec-1415-52885-0001,A0,train,14.30439
spec-2057-53816-0634,A0,train,36.84635
spec-1696-53116-0232,A0,train,38.13863
spec-0700-52199-0053,A0,train,6.44308
spec-2294-53733-0414,A0,train,32.98198
spec-1259-52931-0369,A0,train,59.39653
spec-3198-54865-0180,A0,train,45.06046
spec-1987-53765-0051,A0,train,18.45844
spec-0403-51871-0620,A0,train,42.23156
spec-2595-54207-0553,A0,train,26.37375
spec-2908-54611-0407,A0,train,41.76929
spec-2413-54169-0309,A0,train,21.76049
spec-2523-54572-0559,A0,train,42.28176
spec-0341-51690-0144,A0,train,50.7902
spec-1985-53431-0331,A0,train,36.13435
spec-1153-52933-0417,A0,train,13.44764
spec-2678-54173-0294,A0,train,28.25871
spec-3293-54921-0179,A0,train,11.68398
spec-1153-52933-0288,A0,train,12.13382
spec-3324-54943-0356,A0,train,22.83438
spec-2485-54176-0247,A0,train,29.09045
spec-2925-54584-0099,A0,train,29.53707
spec-0465-51910-0612,A0,train,32.02282
spec-0927-52577-0472,A0,train,7.123897
spec-1000-52643-0405,A0,train,20.09771
spec-1676-53147-0541,A0,train,7.308494
spec-2674-54097-0187,A0,train,19.13624
spec-2933-54617-0515,A0,train,16.76746
spec-2807-54433-0277,A0,train,24.7757
spec-2259-53565-0529,A0,train,24.65891
spec-1298-52964-0379,A0,train,49.72885
spec-2292-53713-0396,A0,train,38.42903
spec-0770-52282-0512,A0,train,6.29362
spec-3145-54801-0415,A0,train,96.68179
spec-0437-51876-0223,A0,train,27.91621
spec-3250-54883-0236,A0,train,15.59189
spec-1380-53084-0306,A0,train,19.18309
spec-2713-54400-0337,A0,train,25.40172
spec-2796-54629-0386,A0,train,27.70366
spec-2876-54581-0498,A0,train,12.84948
spec-0896-52592-0156,A0,train,16.03384
spec-1903-53357-0341,A0,train,13.1877
spec-2289-53708-0007,A0,train,13.68179
spec-2390-54094-0148,A0,train,64.58403
spec-1154-53083-0011,A0,train,11.39668
spec-2070-53405-0175,A0,train,12.63729
spec-2417-53766-0213,A0,train,10.04698
spec-3226-54857-0122,A0,train,15.57686
spec-0525-52295-0394,A0,train,47.75339
spec-1059-52592-0242,A0,train,15.50075
spec-0814-52443-0626,A0,train,39.4856
spec-1345-52814-0421,A0,train,13.04345
spec-2922-54612-0218,A0,train,13.0948
spec-2877-54523-0372,A0,train,63.72854
spec-1167-52738-0268,A0,train,42.62155
spec-1259-52931-0159,A0,train,45.62965
spec-1682-53173-0036,A0,train,22.52084
spec-2486-53876-0084,A0,train,50.82708
spec-2305-54414-0292,A0,train,28.92345
spec-0986-52443-0046,A0,train,59.83743
spec-1468-52999-0408,A0,train,24.76433
spec-3375-55003-0021,A0,train,25.99216
spec-2620-54397-0611,A0,train,17.6569
spec-2890-54495-0217,A0,train,75.24794
spec-3174-54821-0375,A0,train,22.70922
spec-3244-54892-0636,A0,train,22.93888
spec-2042-53378-0036,A0,train,29.75924
spec-0998-52750-0208,A0,train,15.75134
spec-3216-54853-0048,A0,train,26.47543
spec-0900-52637-0366,A0,train,20.41615
spec-2558-54140-0466,A0,train,32.07336
spec-2190-54386-0193,A0,train,13.83455
spec-2165-53917-0356,A0,train,36.54221
spec-0580-52368-0311,A0,train,17.42772
spec-2327-53710-0556,A0,train,8.152379
spec-2402-54176-0567,A0,train,26.77173
spec-3132-54746-0400,A0,train,28.72264
spec-2413-54169-0138,A0,train,11.17468
spec-2853-54440-0585,A0,train,62.50156
spec-2803-54368-0451,A0,train,39.18562
spec-2400-53765-0047,A0,train,29.89795
spec-3301-54939-0457,A0,train,18.8452
spec-3189-54833-0281,A0,train,28.28236
spec-2401-53768-0512,A0,train,15.96955
spec-2459-54339-0171,A0,train,38.87958
spec-3172-54863-0619,A0,train,31.24588
spec-1870-53383-0002,A0,train,43.43517
spec-2065-53678-0133,A0,train,14.00975
spec-2728-54416-0012,A0,train,9.903243
spec-2404-53764-0302,A0,train,34.92294
spec-1917-53289-0452,A0,train,6.374174
spec-0437-51876-0133,A0,train,53.41135
spec-2707-54144-0022,A0,train,16.3168
spec-1581-53149-0237,A0,train,27.25469
spec-1916-53269-0584,A0,train,37.7746
spec-2568-54153-0426,A0,train,6.084445
spec-2301-53712-0515,A0,train,17.47449
spec-2086-53401-0256,A0,train,32.97541
spec-2917-54556-0164,A0,train,11.00299
spec-2872-54533-0337,A0,train,82.62098
spec-2051-53738-0456,A0,train,57.38291
spec-3233-54891-0117,A0,train,9.314575
spec-1043-52465-0111,A0,train,6.680172
spec-3242-54889-0309,A0,train,49.50018
spec-3429-54976-0107,A0,train,40.15609
spec-2040-53384-0194,A0,train,55.78123
spec-3130-54740-0403,A0,train,21.2586
spec-2650-54505-0624,A0,train,32.06615
spec-2329-53725-0071,A0,train,28.48592
spec-0719-52203-0407,A0,train,30.97292
spec-3259-54885-0238,A0,train,21.25861
spec-1421-53149-0476,A0,train,32.52999
spec-1468-52999-0500,A0,train,30.13678
spec-2262-54623-0335,A0,train,7.190466
spec-1275-52996-0153,A0,train,9.700042
spec-2210-53535-0116,A0,train,48.5307
spec-0418-51817-0241,A0,train,19.76945
spec-1737-53055-0016,A0,train,8.407742
spec-1201-52674-0048,A0,train,16.60794
spec-1612-53149-0284,A0,train,16.77322
spec-2690-54211-0123,A0,train,58.41364
spec-2177-54557-0282,A0,train,59.60037
spec-2899-54568-0356,A0,train,67.72343
spec-2864-54467-0479,A0,train,26.54197
spec-2876-54581-0389,A0,train,18.14565
spec-3142-54735-0395,A0,train,22.76193
spec-2190-54386-0247,A0,train,10.38778
spec-1252-52970-0158,A0,train,34.70955
spec-0541-51959-0397,A0,train,78.16604
spec-0468-51912-0144,A0,train,48.48272
spec-1253-52974-0450,A0,train,49.25668
spec-2075-53730-0024,A0,train,6.618017
spec-2204-53877-0041,A0,train,55.02219
spec-2928-54614-0581,A0,train,13.96588
spec-0412-51942-0601,A0,train,9.117496
spec-3292-54943-0233,A0,train,28.19575
spec-0539-52017-0076,A0,train,56.38046
spec-2824-54452-0409,A0,train,7.836934
spec-3134-54806-0028,A0,train,9.70973
spec-2622-54095-0578,A0,train,42.69698
spec-0386-51788-0243,A0,train,5.182881
spec-2609-54476-0303,A0,train,44.42663
spec-1907-53315-0232,A0,train,11.64897
spec-2183-53536-0350,A0,train,43.47985
spec-1910-53321-0636,A0,train,44.39868
spec-1772-53089-0370,A0,train,15.26223
spec-3214-54866-0056,A0,train,13.83863
spec-1739-53050-0520,A0,train,19.13017
spec-0708-52175-0068,A0,train,26.83277
spec-3816-55272-0022,A0,train,5.423654
spec-2194-53904-0416,A0,train,38.04456
spec-1252-52970-0143,A0,train,45.48857
spec-1003-52641-0544,A0,train,39.12557
spec-0926-52413-0354,A0,train,53.29775
spec-3288-54908-0520,A0,train,23.59466
spec-0976-52413-0614,A0,train,7.940815
spec-1506-53003-0443,A0,train,19.31642
spec-0915-52443-0168,A0,train,26.26656
spec-0301-51942-0488,A0,train,16.65282
spec-2467-54176-0497,A0,train,7.00293
spec-0278-51900-0257,A0,train,27.23108
spec-1663-52973-0602,A0,train,10.89506
spec-2067-53738-0638,A0,train,17.62193
spec-2249-53566-0068,A0,train,49.44048
spec-3284-54907-0399,A0,train,30.60439
spec-0549-51981-0051,A0,train,38.4353
spec-2724-54616-0594,A0,train,39.53646
spec-2325-54082-0031,A0,train,11.15989
spec-3180-54864-0195,A0,train,18.00307
spec-2907-54580-0526,A0,train,60.84954
spec-1907-53265-0570,A0,train,14.2071
spec-2303-54629-0153,A0,train,55.42253
spec-2402-54176-0403,A0,train,39.398
spec-0914-52721-0132,A0,train,10.79297
spec-3263-54887-0596,A0,train,34.52001
spec-1903-53357-0125,A0,train,10.14197
spec-2927-54621-0115,A0,train,34.36563
spec-2552-54632-0463,A0,train,49.07849
spec-2873-54505-0610,A0,train,11.99334
spec-2257-53612-0408,A0,train,22.08691
spec-2356-53786-0450,A0,train,13.1341
spec-2567-54179-0239,A0,train,9.757129
spec-2312-53709-0016,A0,train,65.41218
spec-0928-52578-0385,A0,train,15.62362
spec-1650-53174-0513,A0,train,10.10997
spec-2568-54153-0609,A0,train,16.85948
spec-2621-54380-0439,A0,train,32.79227
spec-2058-53349-0208,A0,train,12.98715
spec-1259-52931-0103,A0,train,59.63956
spec-2373-53768-0608,A0,train,46.22556
spec-2934-54626-0198,A0,train,21.47967
spec-2046-53327-0255,A0,train,20.46214
spec-3003-54845-0453,A0,train,66.41149
spec-2068-53386-0262,A0,train,10.4905
spec-2176-54243-0285,A0,train,33.85991
spec-2401-53768-0256,A0,train,27.07743
spec-1903-53357-0197,A0,train,7.309448
spec-2697-54389-0558,A0,train,21.41149
spec-2800-54326-0486,A0,train,40.18827
spec-3133-54789-0312,A0,train,23.8875
spec-1391-52817-0045,A0,train,17.45739
spec-2390-54094-0226,A0,train,46.84953
spec-0703-52209-0106,A0,train,21.72353
spec-1929-53349-0407,A0,train,19.44107
spec-2716-54628-0391,A0,train,37.37458
spec-1472-52913-0170,A0,train,7.60702
spec-2192-54232-0190,A0,train,8.800881
spec-2861-54583-0022,A0,train,60.0076
spec-3230-54860-0353,A0,train,45.26637
spec-2884-54526-0039,A0,train,9.164938
spec-3221-54864-0420,A0,train,26.07274
spec-2075-53737-0570,A0,train,31.67562
spec-0584-52049-0619,A0,train,9.663394
spec-3454-55003-0377,A0,train,7.74934
spec-3293-54921-0634,A0,train,40.25259
spec-0850-52338-0474,A0,train,11.78623
spec-2195-54234-0112,A0,train,20.57206
spec-3374-54948-0061,A0,train,6.562568
spec-0776-52319-0576,A0,train,9.970404
spec-2892-54552-0150,A0,train,57.21267
spec-2873-54505-0187,A0,train,36.75017
spec-0406-51817-0173,A0,train,45.3016
spec-2320-54653-0489,A0,train,6.803443
spec-1971-53472-0541,A0,train,25.28014
spec-3388-54947-0181,A0,train,23.98548
spec-2188-54595-0451,A0,train,27.40355
spec-2046-53327-0288,A0,train,27.60276
spec-3157-54802-0498,A0,train,11.53299
spec-0282-51658-0364,A0,train,19.25545
spec-2800-54326-0111,A0,train,43.15618
spec-3467-54999-0618,A0,train,11.55999
spec-1408-52822-0633,A0,train,43.61885
spec-1030-52914-0417,A0,train,65.43988
spec-0693-52254-0086,A0,train,24.83095
spec-1598-53033-0566,A0,train,32.26632
spec-2948-54553-0208,A0,train,17.49738
spec-2551-54552-0174,A0,train,38.22664
spec-3138-54740-0475,A0,train,90.8969
spec-3368-54954-0385,A0,train,12.59645
spec-2629-54087-0533,A0,train,17.5157
spec-1688-53462-0207,A0,train,19.10143
spec-3114-54773-0123,A0,train,41.44794
spec-2129-54252-0291,A0,train,42.74377
spec-2969-54586-0537,A0,train,9.098476
spec-2858-54464-0242,A0,train,74.39592
spec-1891-53238-0409,A0,train,11.31608
spec-2934-54626-0133,A0,train,14.58816
spec-2895-54567-0301,A0,train,61.63784
spec-3170-54859-0036,A0,train,15.72879
spec-0852-52375-0237,A0,train,13.53296
spec-2278-53711-0373,A0,train,37.12844
spec-3305-54945-0631,A0,train,54.44704
spec-3373-54940-0564,A0,train,19.50792
spec-2342-53742-0459,A0,train,11.55768
spec-0979-52427-0065,A0,train,47.34694
spec-2068-53386-0586,A0,train,8.614962
spec-2390-54094-0395,A0,train,42.06324
spec-2559-54208-0171,A0,train,77.81794
spec-3457-54984-0169,A0,train,58.78485
spec-1394-53108-0171,A0,train,31.0241
spec-2812-54639-0566,A0,train,17.30187
spec-0665-52168-0045,A0,train,31.88921
spec-0307-51663-0149,A0,train,27.89946
spec-3408-54948-0175,A0,train,48.05173
spec-2074-53437-0006,A0,train,11.20351
spec-2410-54087-0203,A0,train,17.08102
spec-2728-54416-0244,A0,train,24.95329
spec-0784-52327-0063,A0,train,8.450623
spec-0993-52710-0087,A0,train,43.28716
spec-2464-54272-0384,A0,train,11.73273
spec-1733-53047-0263,A0,train,46.02852
spec-2390-54094-0180,A0,train,70.19731
spec-2922-54612-0349,A0,train,38.00944
spec-2955-54562-0032,A0,train,51.49311
spec-1155-52581-0381,A0,train,13.68689
spec-1253-52974-0270,A0,train,34.51825
spec-2083-53359-0080,A0,train,12.36903
spec-1857-53182-0166,A0,train,21.36168
